Age,Attrition,DistanceFromHome,YearsAtCompany,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,WorkLifeBalance,NumCompaniesWorked,OverTime
30,No,27,8,3,4,Divorced,5304,2,7,No
29,No,10,1,3,3,Single,2642,3,1,No
42,Yes,19,2,3,3,Divorced,2759,3,6,Yes
43,No,15,2,4,4,Married,6804,3,3,No
34,No,8,5,2,3,Single,6142,3,3,No
23,No,9,4,2,1,Married,2500,4,1,No
39,No,3,8,3,2,Married,6389,1,9,No
56,No,9,10,3,4,Married,11103,2,7,No
40,No,2,4,4,4,Single,2342,2,0,Yes
27,No,7,7,4,1,Single,6811,1,8,No
29,No,10,2,4,2,Divorced,2297,3,1,No
53,No,6,2,4,4,Single,2450,3,2,No
35,No,2,1,4,1,Divorced,5093,4,2,No
32,No,24,10,1,4,Married,5309,3,1,No
38,No,2,1,4,3,Married,3057,1,6,Yes
34,No,8,0,2,1,Divorced,5121,3,3,No
52,No,3,34,3,1,Married,16856,4,1,No
33,Yes,1,10,4,4,Single,2686,2,1,Yes
25,No,26,6,3,4,Single,6180,2,1,No
45,No,2,8,2,3,Single,6632,3,0,No
23,No,10,2,1,3,Single,3505,3,1,No
47,Yes,27,5,2,3,Single,6397,3,4,Yes
34,No,2,6,4,4,Single,6274,3,1,No
55,Yes,2,5,4,1,Married,19859,3,5,Yes
36,No,8,10,1,1,Single,7587,3,1,No
52,No,19,4,4,4,Married,4258,3,0,No
26,No,1,2,1,4,Divorced,4364,3,3,No
29,No,27,8,2,3,Married,4335,2,4,No
26,Yes,8,4,4,1,Single,5326,2,6,No
34,No,1,4,2,4,Single,3280,3,2,No
54,No,19,5,4,1,Divorced,5485,3,9,Yes
27,No,8,4,3,4,Married,4342,3,0,No
37,No,10,5,4,1,Divorced,2782,2,0,Yes
38,No,2,15,1,1,Single,5980,3,6,Yes
34,No,2,6,3,1,Single,4381,3,1,No
35,No,8,3,1,4,Married,2572,2,1,No
30,No,1,2,4,3,Married,3833,3,3,No
40,No,2,8,3,2,Married,4244,3,1,No
34,No,8,3,3,1,Married,6500,3,5,No
42,No,8,24,2,4,Divorced,18430,2,1,No
23,Yes,6,0,3,1,Married,1601,3,1,Yes
24,No,9,1,3,2,Divorced,2694,3,1,No
52,No,11,5,4,3,Married,3149,3,8,No
50,No,2,4,3,3,Married,17639,3,5,No
29,Yes,1,1,2,1,Married,2319,3,1,Yes
33,No,7,13,3,3,Married,11691,4,0,No
33,Yes,16,3,1,1,Single,5324,3,5,No
47,No,2,26,3,4,Married,16752,2,1,Yes
36,No,1,9,3,2,Married,5228,3,0,No
29,No,23,10,3,3,Married,2700,3,1,No
58,Yes,2,31,4,2,Single,19246,3,7,Yes
35,No,1,2,4,3,Single,2506,3,3,No
42,No,1,4,4,4,Married,6062,3,9,Yes
28,Yes,2,2,3,3,Single,4382,2,6,No
36,No,13,5,3,2,Married,2143,3,4,No
32,No,4,14,3,3,Married,6162,3,1,No
40,No,16,1,1,3,Single,5094,3,6,No
30,No,2,0,3,4,Single,6877,2,5,Yes
45,No,2,1,2,3,Single,2274,3,1,No
42,No,29,9,2,2,Married,4434,2,1,No
38,No,12,4,1,1,Divorced,6288,2,2,No
34,No,16,5,3,4,Single,2553,3,1,No
49,Yes,11,9,3,4,Married,7654,4,1,No
55,Yes,2,9,3,4,Single,5160,2,4,No
43,No,14,4,2,1,Married,17159,3,6,No
27,No,5,9,3,4,Divorced,12808,3,1,Yes
35,No,7,8,3,3,Single,10221,4,3,No
28,No,2,8,2,2,Married,4779,3,1,Yes
34,No,3,3,3,4,Married,3737,1,0,No
26,Yes,5,8,3,3,Married,2366,3,1,Yes
27,No,3,0,4,4,Married,1706,2,1,No
51,No,26,20,1,3,Married,16307,2,2,No
44,No,4,5,4,2,Single,5933,2,9,No
25,No,2,4,1,1,Single,3424,2,7,No
33,No,1,9,1,1,Divorced,4037,3,1,No
35,No,27,6,3,1,Single,2559,2,1,No
36,No,1,18,2,4,Married,6201,2,1,Yes
32,No,13,5,2,4,Divorced,4403,2,2,No
30,No,5,5,2,4,Divorced,3761,2,9,No
53,No,7,5,1,4,Married,10934,3,7,Yes
45,No,9,5,4,1,Divorced,10761,3,4,Yes
32,No,8,5,3,3,Married,5175,2,5,No
52,No,25,9,3,4,Married,13826,3,3,No
37,No,16,1,4,3,Divorced,6334,3,4,No
28,No,8,5,2,4,Divorced,4936,3,1,No
22,No,1,2,4,4,Married,4775,1,6,No
44,No,8,3,1,4,Married,2818,2,2,Yes
42,No,2,2,2,4,Single,2515,3,5,Yes
36,No,8,5,1,1,Married,2342,3,0,No
25,No,3,5,3,1,Married,4194,3,1,Yes
35,No,9,17,4,3,Married,10685,3,1,Yes
35,Yes,25,10,4,2,Divorced,2022,2,1,Yes
32,No,1,3,4,4,Divorced,2314,3,0,No
25,No,4,5,3,1,Married,4256,4,1,No
49,No,1,4,3,1,Married,3580,3,2,No
24,No,4,5,1,4,Married,3162,2,0,No
32,No,5,10,2,2,Married,6524,3,1,No
38,No,9,2,2,2,Married,2899,3,0,No
42,No,3,5,3,4,Married,5231,2,2,Yes
31,No,11,6,4,4,Married,2356,3,3,Yes
29,Yes,1,3,2,3,Divorced,2800,3,6,Yes
53,No,8,2,1,4,Married,11836,3,5,No
35,No,25,13,4,2,Married,10903,3,3,No
37,No,21,5,3,4,Married,2973,3,5,No
53,No,23,12,4,4,Single,14275,3,6,No
43,No,1,5,4,4,Married,5562,2,4,No
47,No,2,7,3,4,Married,4537,3,0,Yes
37,No,19,10,1,2,Single,7642,3,1,Yes
50,No,2,31,1,1,Divorced,17924,3,1,No
39,No,2,5,4,4,Married,5204,3,8,No
33,No,3,4,4,2,Divorced,2277,4,3,Yes
32,Yes,25,1,1,4,Single,2795,1,1,Yes
29,No,7,4,1,4,Divorced,2532,3,6,No
44,No,9,8,2,1,Married,2559,3,1,Yes
28,No,5,4,1,4,Single,4908,3,1,No
58,Yes,2,1,4,4,Divorced,2380,2,9,Yes
43,No,8,1,1,2,Divorced,4765,4,4,No
20,Yes,2,2,3,3,Single,2044,2,1,No
21,Yes,18,1,4,4,Single,2693,2,1,No
36,No,14,16,3,4,Married,6586,2,0,Yes
47,No,2,3,4,4,Single,3294,2,1,Yes
22,Yes,3,3,2,3,Married,4171,4,0,Yes
41,Yes,2,7,2,4,Divorced,2778,2,4,Yes
28,No,9,2,3,3,Divorced,2377,3,5,No
39,Yes,6,2,4,1,Married,2404,1,7,Yes
27,No,4,1,2,3,Single,2318,3,1,No
34,No,10,1,2,2,Divorced,2008,3,1,No
42,No,14,5,3,3,Single,6244,3,7,No
33,No,1,3,3,1,Single,2799,3,3,Yes
58,No,5,6,3,2,Divorced,10552,3,2,Yes
31,No,7,7,2,3,Married,2329,4,3,No
35,No,21,10,4,4,Married,4014,1,1,Yes
49,No,8,26,1,2,Married,7403,2,4,No
48,No,20,0,4,3,Married,2259,2,4,No
31,No,20,9,4,3,Married,6932,2,1,No
36,No,7,6,2,4,Single,4678,3,2,No
38,No,1,15,4,1,Married,13582,3,1,No
32,No,1,3,3,2,Married,2332,3,6,No
25,Yes,19,1,3,2,Married,2413,3,1,Yes
40,No,10,1,1,2,Divorced,9705,2,2,No
26,No,1,7,3,1,Single,4294,3,1,No
41,No,6,18,4,1,Single,4721,3,2,Yes
36,No,2,11,3,3,Single,2519,3,4,No
19,Yes,21,1,4,2,Single,2121,4,1,Yes
20,Yes,4,1,1,1,Single,2973,3,1,No
31,No,12,9,4,4,Married,5855,1,0,Yes
40,No,9,1,4,2,Divorced,3617,3,8,Yes
32,No,3,8,3,1,Married,6725,4,1,No
36,Yes,3,16,3,4,Married,10325,3,1,Yes
33,No,1,5,2,4,Single,6949,3,0,No
37,Yes,1,14,1,3,Married,10609,1,5,No
45,No,4,9,3,2,Married,4447,2,1,No
29,No,20,3,3,4,Married,2157,3,1,No
35,No,18,5,3,3,Married,4601,3,1,No
52,No,1,9,4,4,Married,17099,2,2,No
58,Yes,2,1,4,3,Single,2479,3,4,No
53,No,2,17,3,3,Divorced,14852,4,6,No
30,No,8,8,3,3,Divorced,7264,4,5,No
38,No,10,5,3,4,Single,5666,3,1,Yes
35,No,3,10,4,4,Divorced,7823,3,6,No
39,No,2,8,1,3,Single,7880,3,0,No
40,Yes,24,1,2,2,Single,13194,2,4,Yes
47,No,16,19,3,3,Divorced,5067,4,1,Yes
36,No,8,7,1,4,Divorced,5079,3,4,No
31,Yes,9,3,3,1,Single,2321,3,0,Yes
33,No,17,10,4,3,Single,17444,3,1,No
29,Yes,10,0,4,1,Single,2404,3,6,Yes
33,No,13,3,2,4,Single,3452,3,3,No
45,No,1,5,4,4,Divorced,2270,3,3,No
50,No,1,5,4,4,Divorced,17399,2,9,No
33,No,1,6,3,2,Married,5488,3,1,Yes
41,No,9,18,1,3,Divorced,19419,4,2,No
27,No,16,2,3,2,Married,2811,3,9,No
45,No,23,9,4,1,Married,3633,3,1,Yes
47,No,4,9,4,4,Single,4163,3,1,Yes
30,Yes,22,5,1,3,Married,2132,3,4,Yes
50,No,24,12,4,3,Married,13973,3,3,Yes
38,No,10,2,3,3,Married,2684,2,0,No
46,No,7,8,4,3,Divorced,10845,3,6,No
24,No,17,4,4,3,Divorced,4377,3,1,No
35,Yes,14,4,3,2,Divorced,3743,1,1,Yes
31,No,1,4,3,1,Married,4148,3,1,No
18,No,5,0,2,4,Single,1051,3,1,No
54,No,17,10,3,3,Married,10739,3,8,No
35,No,25,16,3,3,Divorced,10388,2,1,Yes
30,No,8,8,2,1,Married,11416,2,0,Yes
20,Yes,11,1,4,1,Single,2600,3,1,Yes
30,Yes,5,3,2,2,Single,2422,3,0,No
26,No,2,8,4,4,Married,5472,3,1,No
22,No,8,4,2,1,Married,2451,2,1,No
48,No,6,2,1,3,Single,4240,3,2,No
48,No,4,15,3,3,Single,10999,3,7,No
41,No,7,2,4,3,Single,5003,3,6,No
39,No,1,21,4,4,Married,12742,3,1,No
27,No,2,3,1,4,Married,4227,3,0,No
35,No,10,3,2,4,Divorced,3917,2,1,No
42,No,5,1,4,3,Married,18303,4,6,No
50,No,9,1,1,4,Married,2380,3,4,No
59,No,2,5,3,4,Single,13726,3,3,Yes
37,Yes,11,1,1,2,Married,4777,1,5,No
55,No,18,8,3,2,Married,6385,3,3,Yes
41,No,7,21,2,3,Divorced,19973,3,1,No
38,No,3,1,2,4,Single,6861,3,8,Yes
26,Yes,29,2,2,1,Single,4969,3,8,No
52,Yes,2,32,1,4,Married,19845,3,1,No
44,No,28,12,4,4,Married,13320,3,3,Yes
50,No,1,18,4,3,Married,6347,3,0,No
36,Yes,16,17,3,1,Single,2743,3,1,No
39,No,22,21,4,1,Single,10880,3,1,Yes
33,No,8,2,2,4,Single,2342,2,0,No
45,No,11,9,4,4,Married,17650,4,3,No
32,No,29,8,4,3,Single,4025,3,9,No
34,No,1,15,2,4,Divorced,9725,2,0,No
59,No,1,6,2,4,Married,11904,1,3,Yes
45,No,24,6,2,2,Single,2177,3,1,No
53,No,2,15,3,2,Married,7525,3,2,No
36,Yes,15,1,1,3,Divorced,4834,2,7,No
26,Yes,2,3,1,1,Married,2042,3,6,Yes
34,No,10,1,3,3,Married,2220,3,1,Yes
28,No,10,1,4,2,Married,1052,3,1,No
38,No,3,2,3,3,Married,2821,3,3,No
50,No,2,8,2,3,Married,19237,2,2,Yes
37,No,3,4,4,2,Single,4107,2,3,No
40,No,26,7,3,1,Married,8396,2,1,No
26,No,1,5,1,3,Divorced,2007,3,1,No
46,No,1,2,4,4,Divorced,19627,3,9,No
54,No,2,9,3,3,Married,10686,3,6,No
56,No,9,5,1,3,Married,2942,3,2,No
36,No,12,14,4,4,Single,8858,2,0,No
55,No,2,9,3,1,Single,16756,4,7,No
43,No,25,1,3,4,Divorced,10798,3,5,No
20,Yes,9,2,4,4,Single,2323,3,1,Yes
21,Yes,10,1,3,1,Single,1416,2,1,No
46,No,8,16,4,1,Divorced,4615,3,8,Yes
51,Yes,4,10,1,3,Married,2461,4,9,Yes
28,Yes,24,10,2,1,Single,8722,2,1,No
26,No,1,5,1,1,Married,3955,3,1,No
30,No,20,6,3,1,Married,9957,2,0,No
41,No,7,10,2,3,Married,3376,3,1,No
38,No,17,19,3,3,Married,8823,2,0,No
40,No,20,11,1,4,Married,10322,3,4,No
27,No,8,3,1,3,Married,4621,3,1,No
55,No,2,3,4,2,Married,10976,3,3,No
28,No,10,8,3,3,Single,3660,4,3,No
44,Yes,1,20,2,1,Married,10482,3,9,No
33,No,5,3,4,4,Divorced,7119,3,4,No
35,Yes,4,8,4,1,Single,9582,3,0,Yes
33,Yes,29,13,1,3,Single,4508,3,1,No
28,No,15,4,1,3,Divorced,2207,2,1,No
34,No,3,6,1,4,Single,7756,2,0,No
37,No,10,1,4,4,Divorced,6694,3,2,Yes
25,Yes,4,7,4,4,Married,3691,4,1,Yes
26,Yes,21,1,1,3,Divorced,2377,2,1,No
33,Yes,25,2,1,2,Single,2313,3,4,Yes
42,No,2,22,4,1,Married,17665,3,0,No
28,Yes,1,1,1,2,Divorced,2596,3,1,No
50,Yes,1,0,4,3,Single,4728,3,3,Yes
33,No,7,3,4,2,Married,4302,3,0,No
34,No,3,0,3,4,Married,2979,3,3,No
48,No,1,5,1,4,Single,16885,2,2,No
45,No,9,15,2,3,Married,5593,3,1,No
52,No,7,8,2,2,Single,10445,3,7,No
38,No,10,8,3,3,Divorced,8740,3,0,Yes
29,No,28,7,3,4,Divorced,2514,3,4,No
28,No,3,9,4,2,Divorced,7655,2,0,No
46,No,3,12,1,3,Married,17465,3,3,No
38,No,2,1,4,2,Single,7351,3,7,No
43,No,27,8,3,1,Married,10820,3,8,No
39,Yes,2,18,1,4,Divorced,12169,3,7,No
40,No,14,20,3,3,Single,19626,4,1,No
21,No,1,2,4,2,Single,2070,4,1,Yes
39,No,9,5,3,2,Single,6782,2,9,No
36,No,18,11,1,4,Single,7779,3,2,No
31,No,20,2,3,4,Married,2791,3,0,No
28,No,2,5,1,2,Married,3201,1,0,No
35,No,11,5,4,4,Divorced,4968,3,1,No
49,No,8,9,4,2,Married,13120,3,6,No
34,No,2,3,4,3,Single,4033,2,2,No
29,No,10,7,4,2,Divorced,3291,2,0,No
42,No,29,1,2,4,Single,4272,3,4,No
29,No,8,10,2,4,Married,5056,2,1,Yes
38,No,1,7,3,3,Married,2844,4,1,No
28,No,6,3,3,3,Divorced,2703,3,1,Yes
18,Yes,8,0,3,3,Single,1904,3,1,No
33,Yes,9,5,1,1,Single,8224,3,0,Yes
41,No,12,1,2,4,Married,4766,3,3,Yes
31,Yes,15,2,3,3,Married,2610,2,1,No
37,No,25,6,3,4,Divorced,5731,3,7,No
27,No,6,4,4,3,Married,2539,3,1,No
34,No,9,6,2,3,Married,5714,2,1,No
35,No,8,5,3,3,Single,4323,1,1,No
29,Yes,23,11,4,1,Married,7336,1,1,No
40,No,9,18,2,3,Single,13499,2,9,No
42,Yes,12,21,3,1,Single,13758,2,0,Yes
42,No,4,6,2,1,Single,5155,4,7,No
35,No,1,8,4,3,Married,2258,3,6,No
24,No,24,4,4,2,Single,3597,3,8,No
28,Yes,12,1,3,4,Married,2515,2,1,Yes
26,No,3,8,1,4,Married,4420,3,1,No
30,No,10,10,3,3,Married,6578,3,1,No
40,No,26,1,3,4,Married,4422,1,3,Yes
35,No,2,7,3,2,Divorced,10274,4,2,No
34,No,1,13,4,1,Single,5343,3,0,No
35,No,4,2,4,4,Married,2376,4,1,No
43,Yes,9,4,1,3,Single,5346,2,8,No
32,No,2,1,3,1,Divorced,2827,3,1,No
56,No,4,5,4,1,Divorced,19943,3,4,No
29,No,6,10,2,4,Married,3131,3,1,No
19,No,9,1,3,1,Single,2552,3,1,No
45,No,7,3,1,3,Married,4477,2,4,Yes
37,No,1,14,4,4,Married,6474,2,1,No
20,No,3,2,1,3,Single,3033,2,1,No
44,Yes,10,6,3,3,Single,2936,3,1,Yes
53,No,7,7,4,3,Divorced,18606,3,3,No
29,No,15,5,2,4,Married,2168,2,0,Yes
22,Yes,3,0,3,4,Married,2853,3,0,Yes
46,No,2,26,3,1,Married,17048,3,8,No
44,No,17,0,4,3,Single,2290,3,2,No
33,No,2,5,2,3,Married,3600,3,1,No
41,Yes,5,1,1,1,Divorced,2107,1,6,No
30,No,29,4,3,1,Divorced,4115,3,8,No
40,No,2,0,2,2,Married,4327,3,5,No
50,No,2,2,4,1,Married,17856,3,2,No
28,No,19,6,4,1,Married,3196,3,1,No
46,No,15,4,4,2,Married,19081,3,5,No
35,No,17,7,3,1,Married,8966,3,3,Yes
24,Yes,17,1,4,2,Married,2210,1,1,No
33,No,25,10,2,3,Married,4539,2,1,No
36,No,6,7,3,3,Divorced,2741,3,1,No
30,No,7,10,3,3,Divorced,3491,2,1,No
44,No,29,20,4,4,Single,4541,3,1,No
20,No,21,2,3,4,Single,2678,3,1,No
46,No,2,6,4,4,Divorced,7379,2,2,No
42,No,2,4,4,1,Married,6272,4,7,No
60,No,7,11,2,4,Divorced,5220,3,0,Yes
32,No,13,2,3,2,Married,2743,3,1,No
32,No,2,8,4,3,Single,4998,3,4,Yes
36,No,1,7,3,1,Divorced,10252,3,2,Yes
33,No,9,14,1,4,Married,2781,3,0,No
40,No,10,5,2,2,Divorced,6852,4,7,No
25,No,10,4,3,4,Single,4950,3,0,No
30,No,1,11,4,2,Married,3579,3,0,Yes
42,No,26,1,1,1,Married,13191,3,3,Yes
35,No,8,13,3,4,Married,10377,2,4,Yes
27,No,14,9,1,1,Married,2235,2,1,Yes
54,No,1,5,4,3,Divorced,10502,1,7,No
44,No,2,10,1,4,Married,2011,3,1,No
19,Yes,10,1,1,2,Single,1859,4,1,Yes
29,No,1,3,1,4,Divorced,3760,3,1,No
54,No,3,10,4,4,Married,17779,3,3,No
31,No,11,6,3,1,Married,6833,2,1,Yes
31,No,24,10,3,1,Single,6812,3,1,No
59,No,3,6,3,4,Single,5171,3,5,No
43,No,3,8,3,4,Married,19740,3,3,No
49,No,4,1,1,3,Married,18711,4,2,No
36,No,3,11,3,2,Married,3692,2,1,No
48,No,2,1,4,2,Single,2559,2,5,No
27,No,4,5,1,3,Divorced,2517,3,1,No
29,No,7,6,3,4,Divorced,6623,3,1,Yes
48,No,1,1,4,4,Single,18265,4,6,No
29,No,1,7,4,4,Divorced,16124,2,3,No
34,No,20,1,3,3,Married,2585,2,0,No
44,No,5,22,2,2,Married,18213,3,7,No
33,No,10,9,4,3,Divorced,8380,3,0,Yes
19,No,25,1,2,4,Single,2994,3,1,Yes
23,No,1,1,4,3,Married,1223,3,1,No
25,Yes,24,1,3,4,Single,1118,3,1,Yes
26,No,4,8,3,4,Single,2875,2,1,Yes
45,Yes,2,24,1,2,Single,18824,3,2,Yes
55,No,8,33,4,2,Divorced,13577,3,1,Yes
21,Yes,10,2,1,3,Single,2625,1,1,No
46,No,4,11,4,2,Married,18789,3,2,No
34,No,2,3,3,1,Single,4538,3,0,Yes
51,No,9,29,4,2,Divorced,19847,2,4,Yes
59,No,18,9,4,4,Single,10512,2,6,No
34,No,19,11,3,2,Divorced,4444,4,4,No
28,No,1,4,4,3,Single,2154,2,0,Yes
44,No,4,25,3,1,Divorced,19190,2,1,No
34,No,11,10,3,2,Married,4490,4,4,No
35,No,6,3,3,3,Married,3506,3,0,Yes
42,No,7,1,2,2,Married,2372,3,6,Yes
43,No,4,21,4,4,Single,10231,4,3,No
36,No,2,16,3,2,Single,5410,3,9,Yes
44,Yes,15,10,1,4,Married,7978,3,1,No
28,No,2,2,4,4,Married,3867,3,1,Yes
51,No,6,7,2,3,Single,2838,2,0,No
30,No,9,8,3,3,Single,4695,3,7,Yes
29,Yes,7,7,2,3,Divorced,3339,3,3,Yes
28,No,1,3,4,1,Single,2080,2,2,No
25,No,1,2,4,2,Single,2096,2,1,No
32,No,8,10,3,4,Married,6209,4,1,No
45,No,25,0,2,2,Single,18061,3,3,No
39,No,13,19,3,2,Divorced,17123,3,6,Yes
58,No,23,2,1,3,Divorced,2372,3,1,No
32,Yes,7,10,4,3,Married,4883,3,1,No
39,Yes,23,5,3,1,Single,3904,3,0,No
30,No,6,9,1,4,Married,4627,3,0,No
36,No,10,7,4,3,Married,7094,3,3,No
46,No,1,7,4,1,Single,3423,4,6,No
28,No,1,9,3,4,Married,6674,3,0,No
50,No,28,3,4,1,Married,16880,3,4,Yes
40,Yes,25,5,4,2,Single,9094,3,2,Yes
52,Yes,5,8,2,2,Single,8446,2,9,Yes
30,No,17,9,2,1,Married,11916,3,1,Yes
39,No,18,8,1,3,Single,4534,3,0,No
31,No,2,10,4,3,Divorced,9852,2,1,Yes
41,No,10,19,3,2,Single,6151,3,1,No
31,Yes,1,3,4,2,Single,2302,4,1,Yes
44,Yes,3,3,1,1,Married,2362,4,4,No
42,No,2,20,3,3,Married,17861,2,0,Yes
55,No,2,19,4,3,Married,19187,3,4,No
56,No,8,7,4,2,Single,19717,3,6,No
40,No,16,4,3,3,Divorced,3544,3,9,No
34,No,9,9,4,4,Divorced,8500,2,0,No
40,No,2,9,3,4,Single,4661,3,1,No
41,No,1,9,3,1,Divorced,4103,3,0,No
35,No,4,9,3,3,Single,4249,3,1,Yes
51,No,5,33,3,2,Divorced,14026,3,1,Yes
38,No,2,7,2,1,Divorced,6893,3,3,No
34,No,15,10,3,1,Single,6125,4,1,No
25,No,19,3,4,4,Married,3669,2,3,No
58,Yes,7,10,3,1,Married,10008,2,7,Yes
40,No,1,4,2,2,Married,2387,3,3,No
36,No,7,15,1,1,Married,4639,2,2,No
48,No,4,10,4,4,Single,7898,3,1,No
27,No,11,1,3,4,Married,2534,3,8,No
51,No,11,5,4,2,Single,13142,2,3,No
18,No,1,0,4,4,Single,1611,4,1,No
35,No,1,9,4,4,Married,5363,3,0,No
27,No,2,6,4,4,Single,5071,3,3,No
55,Yes,13,19,1,3,Single,13695,2,6,Yes
56,No,23,19,4,2,Married,13402,3,4,Yes
34,No,26,5,1,3,Divorced,2029,3,1,No
40,No,2,12,2,3,Divorced,6377,3,5,No
34,No,29,8,2,3,Married,5429,3,4,No
31,Yes,2,1,3,4,Single,2785,4,7,No
35,Yes,18,4,4,3,Married,4614,2,0,Yes
38,No,7,4,4,3,Divorced,2610,3,1,No
34,No,2,14,3,4,Single,6687,4,1,No
28,No,26,5,3,1,Married,4724,3,1,No
31,Yes,22,10,4,3,Married,6179,2,1,Yes
39,No,21,5,1,4,Married,6120,4,3,Yes
51,No,2,4,2,2,Married,10596,3,2,No
41,No,22,6,4,4,Divorced,5467,2,3,Yes
37,No,4,6,3,3,Married,2996,3,7,Yes
33,No,5,5,2,4,Married,9998,4,6,No
32,No,2,3,3,2,Married,4078,2,0,Yes
39,No,25,6,3,3,Married,10920,3,3,No
25,No,18,3,1,3,Married,6232,2,2,No
52,No,28,5,4,3,Married,13247,2,2,Yes
43,No,6,20,1,3,Single,4081,1,1,Yes
27,No,10,6,4,4,Married,5769,3,1,Yes
27,Yes,17,8,4,3,Single,2394,3,1,Yes
26,No,2,4,1,4,Single,3904,3,0,No
42,No,10,20,3,1,Married,16799,3,0,No
52,No,8,5,3,1,Married,2950,1,9,No
37,No,11,3,1,3,Single,3629,3,4,No
35,No,18,2,3,4,Single,9362,3,2,No
25,No,1,3,1,4,Married,3229,2,4,No
26,No,7,7,3,1,Single,3578,3,0,No
29,No,17,10,2,1,Single,7988,2,1,No
49,Yes,28,4,1,1,Single,4284,3,3,No
29,Yes,14,8,3,4,Single,7553,3,0,Yes
54,No,1,20,4,4,Single,17328,2,6,No
58,No,1,9,4,1,Married,19701,3,3,Yes
55,No,1,7,2,4,Divorced,14732,4,2,No
36,No,3,5,1,2,Single,9278,3,3,Yes
31,Yes,1,1,2,3,Single,1359,3,1,No
30,No,7,3,4,1,Divorced,4779,3,7,No
31,No,8,3,1,2,Single,16422,4,3,No
34,No,1,4,4,1,Divorced,2996,3,5,No
31,Yes,8,1,1,2,Single,1261,4,1,No
27,No,11,5,2,1,Married,2099,4,0,No
36,No,4,10,1,4,Single,5810,2,1,No
36,No,16,3,3,1,Married,5647,2,4,No
47,No,1,6,1,4,Married,3420,2,7,No
25,Yes,9,3,1,1,Married,4400,3,3,No
37,No,5,6,3,3,Single,3500,1,0,No
56,No,1,3,1,1,Married,2066,4,2,No
47,No,2,20,1,3,Married,17169,4,3,No
24,No,4,5,4,3,Married,4162,3,1,Yes
32,No,7,4,4,4,Married,9204,2,4,No
34,No,1,5,4,2,Married,3294,2,5,No
41,No,5,4,2,3,Married,2127,2,2,Yes
40,No,9,8,3,3,Divorced,3975,4,3,No
31,No,8,13,1,4,Divorced,10793,3,1,No
46,Yes,9,7,1,4,Divorced,10096,4,4,No
39,Yes,2,1,1,1,Single,3646,4,2,Yes
31,Yes,1,10,3,2,Single,7446,3,1,No
45,No,20,7,2,1,Divorced,10851,3,2,Yes
31,No,8,3,4,2,Single,2109,3,9,No
31,Yes,2,2,2,4,Married,3722,1,6,Yes
45,No,29,3,2,4,Married,9380,4,4,Yes
48,No,7,2,3,1,Divorced,5486,3,4,No
34,Yes,9,2,1,3,Married,2742,3,1,No
40,No,8,9,4,2,Divorced,13757,3,2,No
28,No,5,5,4,1,Single,8463,3,0,No
44,No,5,5,3,3,Single,3162,3,3,No
53,No,2,9,4,2,Single,16598,2,4,No
49,No,5,3,1,3,Married,6651,2,2,No
40,No,2,3,3,3,Divorced,2345,4,2,No
44,No,20,5,4,2,Single,3420,2,1,No
33,No,7,4,4,1,Married,4373,3,0,No
34,No,3,13,4,1,Single,4759,3,3,No
30,No,16,2,4,3,Married,5301,2,8,No
42,No,9,12,1,4,Single,3673,3,1,No
44,No,1,1,1,3,Married,4768,2,7,No
30,No,7,1,3,3,Divorced,1274,2,1,No
57,No,1,12,2,3,Married,4900,2,0,No
49,No,7,8,3,2,Divorced,10466,3,3,No
34,No,15,14,2,1,Divorced,17007,2,7,No
28,Yes,1,3,1,3,Married,2909,4,3,No
29,Yes,13,5,1,2,Single,5765,1,5,No
34,Yes,24,15,1,2,Single,4599,4,0,Yes
35,No,7,1,4,3,Married,2404,3,1,No
24,Yes,9,0,2,1,Single,3172,2,2,Yes
24,No,13,1,4,2,Married,2033,3,1,No
44,No,2,2,2,3,Single,10209,2,5,Yes
29,No,19,10,3,3,Divorced,8620,3,1,No
30,No,1,5,3,3,Divorced,2064,4,0,No
55,No,4,3,4,3,Married,4035,3,0,Yes
33,No,4,5,1,2,Married,3838,3,8,No
47,No,14,5,3,3,Married,4591,2,3,Yes
28,Yes,2,0,3,1,Single,2561,2,7,No
28,No,1,1,1,3,Divorced,1563,1,1,No
28,No,7,4,3,1,Single,4898,3,0,No
49,No,3,3,3,1,Married,4789,3,4,No
29,No,2,3,4,2,Married,3180,3,0,No
28,No,29,8,3,2,Married,6549,2,1,No
33,No,8,0,4,3,Single,6388,3,2,Yes
32,No,10,5,3,4,Single,11244,4,2,No
54,No,11,14,2,4,Divorced,16032,3,3,No
29,Yes,1,9,1,1,Single,2362,1,6,No
44,No,28,20,4,1,Married,16328,4,3,No
39,No,6,2,2,2,Single,8376,3,4,No
46,No,3,13,3,2,Married,16606,4,8,No
35,No,16,11,4,2,Single,8606,1,1,No
23,No,20,4,1,3,Single,2272,3,0,No
40,Yes,9,5,4,1,Single,2018,1,3,No
34,No,1,10,4,3,Married,7083,3,1,Yes
31,Yes,3,7,4,3,Single,4084,1,1,No
50,No,22,32,3,4,Single,14411,3,1,Yes
34,No,7,11,2,3,Married,2308,3,0,Yes
42,No,2,1,3,2,Married,4841,3,4,No
37,No,13,10,1,4,Married,4285,3,1,No
29,No,8,7,3,1,Married,9715,3,3,No
33,No,25,5,4,2,Single,4320,3,1,No
45,No,28,5,4,4,Married,2132,3,4,No
